,Unnamed: 0,Provider,Provider Country,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Customer Price,Device,Supported Platforms
181,181,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
182,182,APPLE,US,0.0,12/1/2007,12/1/2007,TZS,TZ,TZS,0.0,iPhone,iOS
183,183,APPLE,US,0.0,12/1/2007,12/1/2007,RUB,RU,RUB,0.0,iPhone,iOS
184,184,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,SK,EUR,0.0,iPhone,iOS
185,185,APPLE,US,4.08,12/1/2007,12/1/2007,USD,UA,USD,6.99,iPhone,iOS
186,186,APPLE,US,546.0,12/1/2007,12/1/2007,JPY,JP,JPY,780.0,iPhone,iOS
187,187,APPLE,US,244.3,12/1/2007,12/1/2007,PHP,PH,PHP,349.0,iPhone,iOS
188,188,APPLE,US,0.0,12/1/2007,12/1/2007,BGN,BG,BGN,0.0,iPhone,iOS
189,189,APPLE,US,42.8,12/1/2007,12/1/2007,TRY,TR,TRY,77.99,iPhone,iOS
190,190,APPLE,US,4.04,12/1/2007,12/1/2007,EUR,ES,EUR,6.99,iPhone,iOS
191,191,APPLE,US,5.94,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
192,192,APPLE,US,0.0,12/1/2007,12/1/2007,BGN,BG,BGN,0.0,iPhone,iOS
194,194,APPLE,US,0.0,12/1/2007,12/1/2007,USD,SC,USD,0.0,iPhone,iOS
195,195,APPLE,US,0.0,12/1/2007,12/1/2007,NGN,NG,NGN,0.0,iPhone,iOS
196,196,APPLE,US,4.9,12/1/2007,12/1/2007,USD,KW,USD,6.99,iPhone,iOS
197,197,APPLE,US,1483.0,12/1/2007,12/1/2007,HUF,HU,HUF,2690.0,iPhone,iOS
198,198,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
199,199,APPLE,US,0.0,12/1/2007,12/1/2007,SAR,SA,SAR,0.0,iPhone,iOS
201,201,APPLE,US,15.33,12/1/2007,12/1/2007,ILS,IL,ILS,21.9,iPhone,iOS
202,202,APPLE,US,0.0,12/1/2007,12/1/2007,USD,BJ,USD,0.0,iPhone,iOS
204,204,APPLE,US,0.0,12/1/2007,12/1/2007,MXN,MX,MXN,0.0,iPhone,iOS
205,205,APPLE,US,8.16,12/1/2007,12/1/2007,BGN,BG,BGN,13.99,iPhone,iOS
206,206,APPLE,US,0.0,12/1/2007,12/1/2007,JPY,JP,JPY,0.0,iPad,iOS
208,208,APPLE,US,0.0,12/1/2007,12/1/2007,AUD,AU,AUD,0.0,iPhone,iOS
210,210,APPLE,US,0.0,12/1/2007,12/1/2007,DKK,DK,DKK,0.0,iPad,iOS
211,211,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,-6.99,iPhone,iOS
212,212,APPLE,US,0.0,12/1/2007,12/1/2007,MXN,MX,MXN,0.0,iPad,iOS
213,213,APPLE,US,0.0,12/1/2007,12/1/2007,VND,VN,VND,0.0,iPhone,iOS
215,215,APPLE,US,0.0,12/1/2007,12/1/2007,USD,GT,USD,0.0,iPhone,iOS
216,216,APPLE,US,4.08,12/1/2007,12/1/2007,EUR,SK,EUR,6.99,iPhone,iOS
217,217,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,MT,EUR,0.0,iPhone,iOS
219,219,APPLE,US,0.0,12/1/2007,12/1/2007,CZK,CZ,CZK,0.0,iPad,iOS
220,220,APPLE,US,0.0,12/1/2007,12/1/2007,KZT,KZ,KZT,0.0,iPhone,iOS
221,221,APPLE,US,18.66,12/1/2007,12/1/2007,AED,AE,AED,27.99,iPhone,iOS
222,222,APPLE,US,3824.0,12/1/2007,12/1/2007,CLP,CL,CLP,6500.0,iPhone,iOS
223,223,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPad,iOS
224,224,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UA,USD,0.0,iPhone,iOS
