,media_source,date,geo,cost,currency
268,source_2,2007-12-05,CN,0.0,USD
269,source_6,2007-12-07,SX,0.0,USD
270,source_2,2007-12-03,SL,0.4240779963,USD
271,source_3,2007-12-06,ME,0.14724,USD
272,source_1,2007-12-06,MN,1.8000000715,USD
273,source_8,2007-12-01,CH,0.0,USD
274,source_2,2007-12-06,SS,0.0,USD
275,source_3,2007-12-07,YT,0.062326,USD
276,source_1,2007-12-05,MT,0.0,USD
277,source_1,2007-12-04,VI,0.0,USD
278,source_3,2007-12-03,TD,0.124729,USD
279,source_3,2007-12-05,JP,21.788542,USD
280,source_3,2007-12-05,CN,4.843424,USD
281,source_1,2007-12-04,TO,0.0,USD
282,source_2,2007-12-07,PY,0.5035740046,USD
283,source_3,2007-12-07,SZ,0.507597,USD
284,source_2,2007-12-04,BE,0.0,USD
285,source_3,2007-12-03,WS,0.165545,USD
286,source_2,2007-12-05,BB,0.1205379996,USD
287,source_3,2007-12-04,WF,0.0,USD
288,source_2,2007-12-01,GW,0.0,USD
289,source_2,2007-12-04,IT,37.7554511378,USD
290,source_3,2007-12-04,TW,3.710518,USD
291,source_1,2007-12-05,BM,0.0,USD
292,source_1,2007-12-06,KM,0.0,USD
293,source_3,2007-12-01,MU,3.775086,USD
294,source_7,2007-12-05,TT,0.0,USD
295,source_1,2007-12-04,DK,3.689999938,USD
296,source_1,2007-12-03,RU,0.0,USD
297,source_3,2007-12-01,ST,0.0,USD
298,source_1,2007-12-06,CK,0.0,USD
299,source_6,2007-12-03,RU,0.0,USD
300,source_3,2007-12-03,VU,0.07289,USD
301,source_1,2007-12-05,YT,0.0,USD
302,source_1,2007-12-05,BZ,0.0,USD
303,source_2,2007-12-02,AS,0.1118759993,USD
304,source_1,2007-12-01,PG,0.0,USD
305,source_1,2007-12-05,SZ,0.0,USD
306,source_1,2007-12-05,MQ,0.0,USD
307,source_3,2007-12-02,BQ,0.1139,USD
308,source_2,2007-12-03,VG,0.1041890014,USD
309,source_3,2007-12-05,BN,1.862007,USD
310,source_2,2007-12-01,IS,0.7648240131,USD
311,source_6,2007-12-07,IL,0.0,USD
312,source_7,2007-12-01,CA,26.59,USD
313,source_1,2007-12-04,JE,0.0,USD
314,source_3,2007-12-02,GP,0.237606,USD
315,source_7,2007-12-06,BB,0.0,USD
316,source_1,2007-12-07,CI,0.0,USD
317,source_3,2007-12-07,ZA,17.313643,USD
318,source_3,2007-12-01,CF,0.117081,USD
319,source_3,2007-12-05,BL,0.041425,USD
320,source_8,2007-12-07,BR,0.0,USD
321,source_5,2007-12-01,CR,0.0,USD
322,source_1,2007-12-07,GL,0.4199999869,USD
323,source_8,2007-12-02,CL,0.0,USD
324,source_4,2007-12-06,PK,0.0,USD
