,Unnamed: 0,Date Time,Event Name,Region,Language,Platform,Device Type,OS Version,Is Retargeting
322,612,2007-12-2,trial_started,AS,,ios,,15.5,False
323,615,2007-12-2,trial_started,,,ios,,15.6.1,False
324,617,2007-12-2,trial_started,,,ios,,15.5,False
325,618,2007-12-2,trial_started,,,ios,,15.6,False
326,620,2007-12-2,trial_started,,,ios,,15.6.1,False
327,623,2007-12-2,trial_started,SA,,ios,,14.7.1,False
328,626,2007-12-2,trial_started,,,ios,,15.6,False
329,627,2007-12-2,trial_started,,,ios,,15.5,False
330,631,2007-12-2,trial_started,,,ios,,15.6.1,False
331,633,2007-12-2,trial_started,,,ios,,15.5,False
332,634,2007-12-2,trial_started,,,ios,,15.6.1,False
333,636,2007-12-2,trial_started,EU,,ios,,14.4.2,False
334,637,2007-12-2,trial_started,,,ios,,15.5,False
335,638,2007-12-2,trial_started,,,ios,,15.6.1,False
336,641,2007-12-2,trial_started,,,ios,,15.6,False
337,642,2007-12-2,trial_started,,,ios,,15.6,False
338,644,2007-12-2,trial_started,,,ios,,15.6.1,False
339,645,2007-12-2,trial_started,,,ios,,15.6,False
340,647,2007-12-2,trial_started,,,ios,,15.6.1,False
341,649,2007-12-2,trial_started,,,ios,,15.5,False
342,651,2007-12-2,trial_started,,,ios,,15.6.1,False
343,652,2007-12-2,trial_started,AF,,ios,,15.5,False
344,655,2007-12-3,trial_started,,,ios,,15.6.1,False
345,656,2007-12-3,trial_started,AS,,ios,,15.5,False
346,658,2007-12-3,trial_started,,,ios,,15.6.1,False
347,660,2007-12-6,trial_converted,,,ios,,15.6.1,False
348,663,2007-12-3,trial_started,EU,,ios,,15.6,False
349,664,2007-12-3,trial_started,,,ios,,15.6.1,False
350,666,2007-12-3,trial_started,EU,,ios,,15.6.1,False
351,668,2007-12-3,trial_started,,,ios,,15.6,False
352,671,2007-12-3,trial_started,,,ios,,15.6.1,False
353,672,2007-12-3,trial_started,,,ios,,15.6,False
354,675,2007-12-3,trial_started,EU,,ios,,14.3,False
355,677,2007-12-3,trial_started,,,ios,,14.4.2,False
356,678,2007-12-3,trial_started,,,ios,,15.6.1,False
357,680,2007-12-3,trial_started,,,ios,,15.6.1,False
358,682,2007-12-3,trial_started,EU,,ios,,15.4.1,False
359,684,2007-12-3,trial_started,,,ios,,15.6.1,False
360,688,2007-12-3,trial_started,,,ios,,15.6.1,False
361,689,2007-12-6,trial_converted,,,ios,,15.6,False
362,693,2007-12-3,trial_started,EU,,ios,,15.6.1,False
363,694,2007-12-3,trial_started,EU,,ios,,15.6.1,False
364,695,2007-12-5,trial_converted,EU,,ios,,15.5,False
